image_name,sample,treatment,total_pollen,tails,no_tails,ph,pollen_treatment,incubation_temperature_°C,DAFA,germination_percent
cq329_8g_sucrose_fa6_9_p6_14_d5_0001.jpg,8_001,8,101,5,96,5.5,control,22,4,4.95049505
cq329_8g_sucrose_fa6_9_p6_14_d5_0002.jpg,8_001,8,170,2,168,5.5,control,22,4,1.176470588
cq329_8g_sucrose_fa6_9_p6_14_d5_0003.jpg,8_001,8,135,5,130,5.5,control,22,4,3.703703704
cq329_8g_sucrose_fa6_9_p6_14_d5_0004.jpg,8_001,8,91,3,88,5.5,control,22,4,3.296703297
cq329_8g_sucrose_fa6_9_p6_14_d5_0005.jpg,8_001,8,74,4,70,5.5,control,22,4,5.405405405
cq329_8g_sucrose_fa6_9_p6_14_d5_0006.jpg,8_001,8,59,2,57,5.5,control,22,4,3.389830508
cq329_8g_sucrose_fa6_9_p6_14_d5_0007.jpg,8_001,8,77,4,73,5.5,control,22,4,5.194805195
cq329_8g_sucrose_fa6_9_p6_14_d5_0008.jpg,8_001,8,67,2,65,5.5,control,22,4,2.985074627
cq329_8g_sucrose_fa6_9_p6_14_d5_0009.jpg,8_001,8,89,2,87,5.5,control,22,4,2.247191011
cq329_8g_sucrose_fa6_9_p6_14_d5_0010.jpg,8_001,8,78,2,76,5.5,control,22,4,2.564102564
cq329_18g_sucrose_fa6_9_p6_14_d1_0001.jpg,8_002,8,147,2,145,5.5,control,22,4,1.360544218
cq329_18g_sucrose_fa6_9_p6_14_d1_0002.jpg,8_002,8,162,1,161,5.5,control,22,4,0.617283951
cq329_18g_sucrose_fa6_9_p6_14_d1_0003.jpg,8_002,8,155,3,152,5.5,control,22,4,1.935483871
cq329_18g_sucrose_fa6_9_p6_14_d1_0004.jpg,8_002,8,191,2,189,5.5,control,22,4,1.047120419
cq329_18g_sucrose_fa6_9_p6_14_d1_0005.jpg,8_002,8,146,0,146,5.5,control,22,4,0
cq329_18g_sucrose_fa6_9_p6_14_d1_0006.jpg,8_002,8,54,2,52,5.5,control,22,4,3.703703704
cq329_18g_sucrose_fa6_9_p6_14_d1_0007.jpg,8_002,8,71,1,70,5.5,control,22,4,1.408450704
cq329_18g_sucrose_fa6_9_p6_14_d1_0008.jpg,8_002,8,45,3,42,5.5,control,22,4,6.666666667
cq329_18g_sucrose_fa6_9_p6_14_d1_0009.jpg,8_002,8,68,0,68,5.5,control,22,4,0
cq329_18g_sucrose_fa6_9_p6_14_d1_0010.jpg,8_002,8,49,3,46,5.5,control,22,4,6.12244898
cq329_18g_sucrose_fa6_9_p6_14_d2_0001.jpg,8_003,8,61,3,58,5.5,control,22,4,4.918032787
cq329_18g_sucrose_fa6_9_p6_14_d2_0002.jpg,8_003,8,157,3,154,5.5,control,22,4,1.910828025
cq329_18g_sucrose_fa6_9_p6_14_d2_0003.jpg,8_003,8,75,3,72,5.5,control,22,4,4
cq329_18g_sucrose_fa6_9_p6_14_d2_0004.jpg,8_003,8,72,1,71,5.5,control,22,4,1.388888889
cq329_18g_sucrose_fa6_9_p6_14_d2_0005.jpg,8_003,8,67,1,66,5.5,control,22,4,1.492537313
cq329_18g_sucrose_fa6_9_p6_14_d2_0006.jpg,8_003,8,109,3,106,5.5,control,22,4,2.752293578
cq329_18g_sucrose_fa6_9_p6_14_d2_0007.jpg,8_003,8,109,3,106,5.5,control,22,4,2.752293578
cq329_18g_sucrose_fa6_9_p6_14_d2_0008.jpg,8_003,8,173,3,170,5.5,control,22,4,1.734104046
cq329_18g_sucrose_fa6_9_p6_14_d2_0009.jpg,8_003,8,65,3,62,5.5,control,22,4,4.615384615
cq329_18g_sucrose_fa6_9_p6_14_d2_0010.jpg,8_003,8,83,3,80,5.5,control,22,4,3.614457831
cq329_18g_sucrose_fa6_9_p6_14_d3_0001.jpg,8_004,8,174,3,171,5.5,control,22,4,1.724137931
cq329_18g_sucrose_fa6_9_p6_14_d3_0002.jpg,8_004,8,87,1,86,5.5,control,22,4,1.149425287
cq329_18g_sucrose_fa6_9_p6_14_d3_0003.jpg,8_004,8,66,1,65,5.5,control,22,4,1.515151515
cq329_18g_sucrose_fa6_9_p6_14_d3_0004.jpg,8_004,8,52,1,51,5.5,control,22,4,1.923076923
cq329_18g_sucrose_fa6_9_p6_14_d3_0005.jpg,8_004,8,103,0,103,5.5,control,22,4,0
cq329_18g_sucrose_fa6_9_p6_14_d3_0006.jpg,8_004,8,44,2,42,5.5,control,22,4,4.545454545
cq329_18g_sucrose_fa6_9_p6_14_d3_0007.jpg,8_004,8,108,2,106,5.5,control,22,4,1.851851852
cq329_18g_sucrose_fa6_9_p6_14_d3_0008.jpg,8_004,8,122,2,120,5.5,control,22,4,1.639344262
cq329_18g_sucrose_fa6_9_p6_14_d3_0009.jpg,8_004,8,116,3,113,5.5,control,22,4,2.586206897
cq329_18g_sucrose_fa6_9_p6_14_d3_0010.jpg,8_004,8,130,2,128,5.5,control,22,4,1.538461538
cq329_18g_sucrose_fa6_9_p6_14_d4_0001.jpg,8_005,8,100,1,99,5.5,control,22,4,1
cq329_18g_sucrose_fa6_9_p6_14_d4_0002.jpg,8_005,8,63,2,61,5.5,control,22,4,3.174603175
cq329_18g_sucrose_fa6_9_p6_14_d4_0003.jpg,8_005,8,31,2,29,5.5,control,22,4,6.451612903
cq329_18g_sucrose_fa6_9_p6_14_d4_0004.jpg,8_005,8,65,2,63,5.5,control,22,4,3.076923077
cq329_18g_sucrose_fa6_9_p6_14_d4_0005.jpg,8_005,8,132,2,130,5.5,control,22,4,1.515151515
cq329_18g_sucrose_fa6_9_p6_14_d4_0006.jpg,8_005,8,138,2,136,5.5,control,22,4,1.449275362
cq329_18g_sucrose_fa6_9_p6_14_d4_0007.jpg,8_005,8,160,1,159,5.5,control,22,4,0.625
cq329_18g_sucrose_fa6_9_p6_14_d4_0008.jpg,8_005,8,149,2,147,5.5,control,22,4,1.342281879
cq329_18g_sucrose_fa6_9_p6_14_d4_0009.jpg,8_005,8,73,1,72,5.5,control,22,4,1.369863014
cq329_18g_sucrose_fa6_9_p6_14_d4_0010.jpg,8_005,8,123,3,120,5.5,control,22,4,2.43902439
cq329_8gsucrose_FA6_13_p6_17_d1_0001.jpg,8_006,8,36,1,35,5.5,control,22,3,2.777777778
cq329_8gsucrose_FA6_13_p6_17_d1_0002.jpg,8_006,8,45,0,45,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d1_0003.jpg,8_006,8,43,1,42,5.5,control,22,3,2.325581395
cq329_8gsucrose_FA6_13_p6_17_d1_0004.jpg,8_006,8,31,1,30,5.5,control,22,3,3.225806452
cq329_8gsucrose_FA6_13_p6_17_d1_0005.jpg,8_006,8,48,0,48,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d1_0006.jpg,8_006,8,111,0,111,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d1_0007.jpg,8_006,8,110,0,110,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d1_0008.jpg,8_006,8,97,0,97,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d1_0009.jpg,8_006,8,110,0,110,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d1_0010.jpg,8_006,8,46,1,45,5.5,control,22,3,2.173913043
cq329_8gsucrose_FA6_13_p6_17_d2_0001.jpg,8_007,8,57,0,57,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0002.jpg,8_007,8,39,0,39,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0003.jpg,8_007,8,41,0,41,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0004.jpg,8_007,8,53,0,53,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0005.jpg,8_007,8,45,0,45,5.5,control,22,3,
cq329_8gsucrose_FA6_13_p6_17_d2_0006.jpg,8_007,8,51,0,51,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0007.jpg,8_007,8,67,0,67,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0008.jpg,8_007,8,61,0,61,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0009.jpg,8_007,8,56,0,56,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d2_0010.jpg,8_007,8,59,0,59,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0001.jpg,8_008,8,47,0,47,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0002.jpg,8_008,8,80,0,80,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0003.jpg,8_008,8,74,0,74,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0004.jpg,8_008,8,49,0,49,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0005.jpg,8_008,8,50,0,50,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0006.jpg,8_008,8,112,0,112,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0007.jpg,8_008,8,170,0,170,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0008.jpg,8_008,8,107,0,107,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0009.jpg,8_008,8,49,0,49,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d3_0010.jpg,8_008,8,140,0,140,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0001.jpg,8_009,8,48,0,48,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0002.jpg,8_009,8,74,1,73,5.5,control,22,3,1.351351351
cq329_8gsucrose_FA6_13_p6_17_d4_0003.jpg,8_009,8,89,0,89,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0004.jpg,8_009,8,65,0,65,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0005.jpg,8_009,8,59,1,58,5.5,control,22,3,1.694915254
cq329_8gsucrose_FA6_13_p6_17_d4_0006.jpg,8_009,8,64,0,64,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0007.jpg,8_009,8,103,0,103,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0008.jpg,8_009,8,55,0,55,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0009.jpg,8_009,8,53,0,53,5.5,control,22,3,0
cq329_8gsucrose_FA6_13_p6_17_d4_0010.jpg,8_009,8,106,0,106,5.5,control,22,3,0
cq329_16g_sucrose_fa6_9_p6_12_d1_0001.jpg,16_001,16,44,13,31,5.5,control,22,3,29.54545455
