image_name,sample ,genotype,total_pollen,tails,no_tails,hours_incubation,incubation_temperature_°C,days_after_first_anthesis,percent_germinated
cq329_timecourse_1h_fa7_19_p7_22_d1_0001.jpg,1_001,QQ74,52,4,48,1,22,3,7.692307692
cq329_timecourse_1h_fa7_19_p7_22_d1_0002.jpg,1_001,QQ74,71,0,71,1,22,3,0
cq329_timecourse_1h_fa7_19_p7_22_d1_0003.jpg,1_001,QQ74,44,1,43,1,22,3,2.272727273
cq329_timecourse_1h_fa7_19_p7_22_d1_0004.jpg,1_001,QQ74,77,1,76,1,22,3,1.298701299
cq329_timecourse_1h_fa7_19_p7_22_d1_0005.jpg,1_001,QQ74,89,1,88,1,22,3,1.123595506
cq329_timecourse_1h_fa7_19_p7_22_d2_0001.jpg,1_002,QQ74,58,1,57,1,22,3,1.724137931
cq329_timecourse_1h_fa7_19_p7_22_d2_0002.jpg,1_002,QQ74,35,0,35,1,22,3,0
cq329_timecourse_1h_fa7_19_p7_22_d2_0003.jpg,1_002,QQ74,65,1,64,1,22,3,1.538461538
cq329_timecourse_1h_fa7_19_p7_22_d2_0004.jpg,1_002,QQ74,17,1,16,1,22,3,5.882352941
cq329_timecourse_1h_fa7_19_p7_22_d2_0005.jpg,1_002,QQ74,81,1,80,1,22,3,1.234567901
cq329_timecourse_18h_fa7_18_p7_21_d1_.jpg,18_003,QQ74,80,3,77,18,22,3,3.75
cq329_timecourse_18h_fa7_18_p7_21_d1_0001.jpg,18_003,QQ74,92,3,89,18,22,3,3.260869565
cq329_timecourse_18h_fa7_18_p7_21_d1_0002.jpg,18_003,QQ74,70,3,67,18,22,3,4.285714286
cq329_timecourse_18h_fa7_18_p7_21_d1_0003.jpg,18_003,QQ74,27,3,24,18,22,3,11.11111111
cq329_timecourse_18h_fa7_18_p7_21_d1_0004.jpg,18_003,QQ74,43,4,39,18,22,3,9.302325581
cq329_timecourse_18h_fa7_18_p7_21_d2_0001.jpg,18_004,QQ74,98,3,96,18,22,3,3.06122449
cq329_timecourse_18h_fa7_18_p7_21_d2_0002.jpg,18_004,QQ74,133,3,130,18,22,3,2.255639098
cq329_timecourse_18h_fa7_18_p7_21_d2_0003.jpg,18_004,QQ74,140,6,134,18,22,3,4.285714286
cq329_timecourse_18h_fa7_18_p7_21_d2_0004.jpg,18_004,QQ74,129,3,126,18,22,3,2.325581395
cq329_timecourse_18h_fa7_18_p7_21_d2_0005.jpg,18_004,QQ74,142,5,137,18,22,3,3.521126761
cq329_timecourse_18h_fa7_18_p7_21_d3_0001.jpg,18_005,QQ74,193,5,188,18,22,3,2.590673575
cq329_timecourse_18h_fa7_18_p7_21_d3_0002.jpg,18_005,QQ74,269,7,262,18,22,3,2.602230483
cq329_timecourse_18h_fa7_18_p7_21_d3_0003.jpg,18_005,QQ74,110,6,104,18,22,3,5.454545455
cq329_timecourse_18h_fa7_18_p7_21_d3_0004.jpg,18_005,QQ74,145,4,141,18,22,3,2.75862069
cq329_timecourse_18h_fa7_18_p7_21_d3_0005.jpg,18_005,QQ74,54,2,52,18,22,3,3.703703704
cq329_timecourse_18h_fa7_18_p7_21_d4_0001.jpg,18_006,QQ74,25,7,18,18,22,3,28
cq329_timecourse_18h_fa7_18_p7_21_d4_0002.jpg,18_006,QQ74,151,6,145,18,22,3,3.973509934
cq329_timecourse_18h_fa7_18_p7_21_d4_0003.jpg,18_006,QQ74,154,3,151,18,22,3,1.948051948
cq329_timecourse_18h_fa7_18_p7_21_d4_0004.jpg,18_006,QQ74,55,2,53,18,22,3,3.636363636
cq329_timecourse_18h_fa7_18_p7_21_d4_0005.jpg,18_006,QQ74,71,2,69,18,22,3,2.816901408
cq329_timecourse_18h_fa7_18_p7_21_d5_0001.jpg,18_007,QQ74,91,3,88,18,22,3,3.296703297
cq329_timecourse_18h_fa7_18_p7_21_d5_0002.jpg,18_007,QQ74,95,3,92,18,22,3,3.157894737
cq329_timecourse_18h_fa7_18_p7_21_d5_0003.jpg,18_007,QQ74,76,5,71,18,22,3,6.578947368
cq329_timecourse_18h_fa7_18_p7_21_d5_0004.jpg,18_007,QQ74,76,3,73,18,22,3,3.947368421
cq329_timecourse_18h_fa7_18_p7_21_d5_0005.jpg,18_007,QQ74,96,4,92,18,22,3,4.166666667
cq329_timecourse_18h_fa7_18_p7_21_d6_0001.jpg,18_008,QQ74,22,2,20,18,22,3,9.090909091
cq329_timecourse_18h_fa7_18_p7_21_d6_0002.jpg,18_008,QQ74,66,1,65,18,22,3,1.515151515
cq329_timecourse_18h_fa7_18_p7_21_d6_0003.jpg,18_008,QQ74,133,4,129,18,22,3,3.007518797
cq329_timecourse_18h_fa7_18_p7_21_d6_0004.jpg,18_008,QQ74,60,3,57,18,22,3,5
cq329_timecourse_18h_fa7_18_p7_21_d6_0005.jpg,18_008,QQ74,147,5,142,18,22,3,3.401360544
cq329_timecourse_18h_fa7_19_p7_22_d1_0001.jpg,18_009,QQ74,94,3,91,18,22,3,3.191489362
cq329_timecourse_18h_fa7_19_p7_22_d1_0002.jpg,18_009,QQ74,91,1,90,18,22,3,1.098901099
cq329_timecourse_18h_fa7_19_p7_22_d1_0003.jpg,18_009,QQ74,87,3,84,18,22,3,3.448275862
cq329_timecourse_18h_fa7_19_p7_22_d1_0004.jpg,18_009,QQ74,60,1,59,18,22,3,1.666666667
