image,sample,genotype ,pollen_growth_temp,pollen_incubation_temp_c,rounds,pollen_image,treatment,tails,no_tails,total_pollen,pollen_germination,
cq329_h10-30_ph5-5_p1-001 ,ph5_001,QQ74,22,22,Round-1,10/30/20,5.5,57,33,90,63.33333333,
cq329_h10-30_ph5-5_p1-0002,ph5_001,QQ74,22,22,Round-1,10/30/20,5.5,90,53,143,62.93706294,
cq329_h10-30_ph5-5_p1-0003,ph5_001,QQ74,22,22,Round-1,10/30/20,5.5,64,46,110,58.18181818,
cq329_h10-30_ph5-5_p1-0004,ph5_001,QQ74,22,22,Round-1,10/30/20,5.5,75,13,88,85.22727273,
cq329_h10-30_ph5-5_p1-0005,ph5_001,QQ74,22,22,Round-1,10/30/20,5.5,43,12,55,78.18181818,
cq329_h10-30_ph5-5_p2-0001,ph5_002,QQ74,22,22,Round-1,10/30/20,5.5,50,9,59,84.74576271,
cq329_h10-30_ph5-5_p2-0002,ph5_002,QQ74,22,22,Round-1,10/30/20,5.5,44,14,58,75.86206897,
cq329_h10-30_ph5-5_p2-0003,ph5_002,QQ74,22,22,Round-1,10/30/20,5.5,27,8,35,77.14285714,
cq329_h10-30_ph5-5_p2-0004,ph5_002,QQ74,22,22,Round-1,10/30/20,5.5,28,0,28,100,
cq329_h10-30_ph5-5_p2-0005,ph5_002,QQ74,22,22,Round-1,10/30/20,5.5,23,8,31,74.19354839,
cq329_h10-30_ph5-5_p2-0006,ph5_002,QQ74,22,22,Round-1,10/30/20,5.5,14,8,22,63.63636364,
cq329_h10-30_ph5-5_p3-0001,ph5_003,QQ74,22,22,Round-1,10/30/20,5.5,26,15,41,63.41463415,
cq329_h10-30_ph5-5_p3-0003,ph5_003,QQ74,22,22,Round-1,10/30/20,5.5,28,17,45,62.22222222,
cq329_h10-30_ph5-5_p3-0004,ph5_003,QQ74,22,22,Round-1,10/30/20,5.5,26,19,45,57.77777778,
cq329_h10-30_ph5-5_p3-0005,ph5_003,QQ74,22,22,Round-1,10/30/20,5.5,73,34,107,68.22429907,
cq329_h10-30_ph5-5_p3-0006,ph5_003,QQ74,22,22,Round-1,10/30/20,5.5,33,17,50,66,
329-ph-5-5-0001,ph5_004,QQ74,22,22,Round-2,11/7/20,5.5,50,33,83,60.24096386,
