image_name,sample,total_pollen,tails,no_tails,ph,treatment,incubation_temperature_°C,days_after_first_anthesis,germination_percent
cq329_fa6_17_p619_0ml_boric_acid_d1_0001.jpg,0_001,75,0,75,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d1_0002.jpg,0_001,85,0,85,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d1_0003.jpg,0_001,77,0,77,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d1_0004.jpg,0_001,151,0,151,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d1_0005.jpg,0_001,108,0,108,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d2_0001.jpg,0_002,62,0,62,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d2_0002.jpg,0_002,79,0,79,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d2_0003.jpg,0_002,86,0,86,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d2_0004.jpg,0_002,59,0,59,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d2_0005.jpg,0_002,78,0,78,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d3_0001.jpg,0_003,57,0,57,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d3_0002.jpg,0_003,50,0,50,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d3_0003.jpg,0_003,46,0,46,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d3_0004.jpg,0_003,58,0,58,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d3_0005.jpg,0_003,77,0,77,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d4_0001.jpg,0_004,45,0,45,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d5_0001.jpg,0_004,54,0,54,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d5_0002.jpg,0_004,56,0,56,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d5_0003.jpg,0_004,58,0,58,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d5_0004.jpg,0_004,68,0,68,5.5,0,22,2,0
cq329_fa6_17_p619_0ml_boric_acid_d5_0005.jpg,0_004,56,0,56,5.5,0,22,2,0
cq329_fa6_17_p6_20_0ml_boric_acid_d1_0001.j[g,0_005,25,0,25,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d1_0002.jpg,0_005,98,0,98,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d1_0003.jpg,0_005,51,0,51,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d1_0004.jpg,0_005,124,0,124,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d1_0005.jpg,0_005,63,0,63,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d2_0001.jpg,0_006,155,0,155,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d2_0002.jpg,0_006,102,0,102,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d2_0003.jpg,0_006,111,0,111,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d2_0004.jpg,0_006,90,0,90,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d2_0005.jpg,0_006,68,0,68,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d3_0001.jpg,0_007,58,0,58,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d3_0002.jpg,0_007,71,0,71,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d3_0003.jpg,0_007,42,0,42,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d3_0004.jpg,0_007,63,0,63,5.5,0,22,3,0
cq329_fa6_17_p6_20_0ml_boric_acid_d3_0005.jpg,0_007,52,0,52,5.5,0,22,3,0
cq329_0ml_boric_acid_fa6_17_p6_21_d1_0001.jpg,0_008,30,0,30,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d1_0002.jpg,0_008,28,0,28,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d1_0003.jpg,0_008,34,0,34,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d1_0004.jpg,0_008,34,0,34,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d1_0005.jpg,0_008,29,0,29,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d2_.jpg,0_009,67,0,67,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d2_0001.jpg,0_009,59,0,59,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d2_0002.jpg,0_009,28,0,28,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d2_0003.jpg,0_009,47,0,47,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d2_0004.jpg,0_009,64,0,64,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d3_0001.jpg,0_010,42,0,42,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d3_0002.jpg,0_010,56,0,56,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d3_0003.jpg,0_010,80,0,80,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d3_0004.jpg,0_010,58,0,58,5.5,0,22,4,0
cq329_0ml_boric_acid_fa6_17_p6_21_d3_0005.jpg,0_010,52,0,52,5.5,0,22,4,0
cq329_fa6_17_p619_1ml_boric_acid_d1_0001.jpg,1_001,56,0,56,5.5,0.01,22,2,0
cq329_fa6_17_p619_1ml_boric_acid_d1_0002.jpg,1_001,44,1,43,5.5,0.01,22,2,2.272727273
cq329_fa6_17_p619_1ml_boric_acid_d1_0003.jpg,1_001,59,4,55,5.5,0.01,22,2,6.779661017
cq329_fa6_17_p619_1ml_boric_acid_d1_0004.jpg,1_001,103,3,100,5.5,0.01,22,2,2.912621359
cq329_fa6_17_p619_1ml_boric_acid_d1_0006.jpg,1_001,32,3,29,5.5,0.01,22,2,9.375
cq329_fa6_17_p619_1ml_boric_acid_d1_0007.jpg,1_001,74,7,67,5.5,0.01,22,2,9.459459459
cq329_fa6_17_p619_1ml_boric_acid_d1_0008.jpg,1_001,92,6,86,5.5,0.01,22,2,6.52173913
cq329_fa6_17_p619_1ml_boric_acid_d1_0009.jpg,1_001,59,7,52,5.5,0.01,22,2,11.86440678
cq329_fa6_17_p619_1ml_boric_acid_d1_0010.jpg,1_001,24,5,19,5.5,0.01,22,2,20.83333333
cq329_fa6_17_p619_1ml_boric_acid_d2_0001.jpg,1_002,85,5,80,5.5,0.01,22,2,5.882352941
cq329_fa6_17_p619_1ml_boric_acid_d2_0002.jpg,1_002,60,1,59,5.5,0.01,22,2,1.666666667
cq329_fa6_17_p619_1ml_boric_acid_d2_0003.jpg,1_002,35,4,31,5.5,0.01,22,2,11.42857143
cq329_fa6_17_p619_1ml_boric_acid_d2_0004.jpg,1_002,31,3,28,5.5,0.01,22,2,9.677419355
cq329_fa6_17_p619_1ml_boric_acid_d2_0005.jpg,1_002,40,5,35,5.5,0.01,22,2,12.5
cq329_fa6_17_p619_1ml_boric_acid_d2_0006.jpg,1_002,50,2,48,5.5,0.01,22,2,4
cq329_fa6_17_p619_1ml_boric_acid_d2_0007.jpg,1_002,35,4,31,5.5,0.01,22,2,11.42857143
cq329_fa6_17_p619_1ml_boric_acid_d2_0008.jpg,1_002,97,11,86,5.5,0.01,22,2,11.34020619
cq329_fa6_17_p619_1ml_boric_acid_d2_0009.jpg,1_002,117,14,103,5.5,0.01,22,2,11.96581197
cq329_fa6_17_p619_1ml_boric_acid_d2_0010.jpg,1_002,103,16,87,5.5,0.01,22,2,15.53398058
