image,sample,genotype ,days_after_first_anthesis,tails,no_tails,total_pollen,pollen_germination
control3_7_pollen3_10_ph5-5_d1st_r1_pic0001.jpg,4_001,QQ74,4,31,26,57,54.38596491
control3_7_pollen3_10_ph5-5_d1st_r1_pic0002.jpg,4_001,QQ74,4,38,17,55,69.09090909
control3_7_pollen3_10_ph5-5_d1st_r1_pic0003.jpg,4_001,QQ74,4,22,25,47,46.80851064
control3_7_pollen3_10_ph5-5_d1st_r1_pic0004.jpg,4_001,QQ74,4,31,20,51,60.78431373
control3_7_pollen3_10_ph5-5_d1st_r1_pic0005.jpg,4_001,QQ74,4,23,14,37,62.16216216
control3_7_pollen3_10_ph5-5_d1st_r1_pic0006.jpg,4_001,QQ74,4,28,6,34,82.35294118
control3_7_pollen3_10_ph5-5_d1st_r1_pic0007.jpg,4_001,QQ74,4,20,3,23,86.95652174
control3_7_pollen3_10_ph5-5_d1st_r1_pic0008.jpg,4_001,QQ74,4,20,16,36,55.55555556
control3_7_pollen3_10_ph5-5_d1st_r1_pic0009.jpg,4_001,QQ74,4,16,15,31,51.61290323
control3_7_pollen3_10_ph5-5_d1st_r1_pic0010.jpg,4_001,QQ74,4,27,19,46,58.69565217
control3_7_pollen3_10_ph5-5_d1st_r2_pic0001.jpg,4_002,QQ74,4,21,5,26,80.76923077
control3_7_pollen3_10_ph5-5_d1st_r2_pic0002.jpg,4_002,QQ74,4,25,8,33,75.75757576
control3_7_pollen3_10_ph5-5_d1st_r2_pic0003.jpg,4_002,QQ74,4,19,3,22,86.36363636
control3_7_pollen3_10_ph5-5_d1st_r2_pic0004.jpg,4_002,QQ74,4,20,5,25,80
control3_7_pollen3_10_ph5-5_d1st_r2_pic0005.jpg,4_002,QQ74,4,24,12,36,66.66666667
control3_7_pollen3_10_ph5-5_d1st_r2_pic0006.jpg,4_002,QQ74,4,21,10,31,67.74193548
control3_7_pollen3_10_ph5-5_d1st_r2_pic0007.jpg,4_002,QQ74,4,23,10,33,69.6969697
